Type,X,Y,Z,U,V,W,Energy,Weight,Cell,Material,Time
2000,36.25901371582921,19.504108229928843,49.087581164633306,-0.6323914894630523,0.7636166816960708,-0.13027113068590407,0.09029375783707283,1.0,20.0,1.0,1.2281879983134423
5000,36.2569647152021,19.510386330204014,49.088682531605734,0.7358434079959333,0.46708499807890336,-0.49027143857108524,0.000978689642091229,1.0,20.0,1.0,1.2283088408459315
2000,36.25655070741921,19.511044203684467,49.089117260989134,0.812009184195037,-0.1820299162961315,0.5545324105551759,0.002150187477568751,1.0,20.0,1.0,1.228289280418603
5000,36.25656445056828,19.511048866190276,49.089122777466564,0.3364775933627385,-0.7488980130400268,0.5709068183421174,0.0008178484470929331,1.0,20.0,1.0,1.2282900211105852
2000,36.256296059137156,19.511223235676212,49.08897988895733,0.7011818846032013,-0.6914084081823689,0.17406429214237473,0.001779869749053066,1.0,20.0,1.0,1.2282854952599418
5000,36.25629225908376,19.51121909866329,49.088977828563706,-0.7747161853063538,-0.31192578689717354,-0.5500155776820785,0.0008787850772881132,1.0,20.0,1.0,1.2282859525779914
2000,36.25466745764936,19.511103136718297,49.08714089525062,-0.2872031394940282,0.8096003915570874,0.5119194884504639,0.003552820730548739,1.0,20.0,1.0,1.228260378306004
5000,36.25464441027794,19.51111035153764,49.08714072687154,0.5171798130997582,0.3436199555305536,0.7838688455878824,0.0008523236163911664,1.0,20.0,1.0,1.2282615192783664
2000,36.25372819310901,19.509915121160944,49.08662778438343,0.09754633123868928,0.6354865334161807,0.7659253090925756,0.0012473577223112158,1.0,20.0,1.0,1.2282444034944096
5000,36.25372859929267,19.509915911532605,49.086629031128034,0.8214289081942323,0.5598430169016891,-0.10876739037618982,0.0009624988089603924,1.0,20.0,1.0,1.2282444829690347
2000,36.255016197559165,19.507272515653224,49.08672877724836,-0.6274028070004531,-0.3551307343952812,0.6929991913817939,0.0011179179322632282,1.0,20.0,1.0,1.2282225173731378
5000,36.255015286596034,19.507271982438773,49.08672976611066,-0.6384429956158161,-0.4272837605336243,0.6401711719011933,0.0009907142361525818,1.0,20.0,1.0,1.2282225917108973
2000,36.25634828616811,19.506309784133048,49.08709070631424,-0.15761230257757808,-0.43432328551228055,-0.8868605559714626,0.0014469439802099774,1.0,20.0,1.0,1.2282109630916145
5000,36.256349672446156,19.50631039401876,49.08709011095274,0.7090172927980953,0.7011522982179409,0.07536533166489354,0.0009044204847080165,1.0,20.0,1.0,1.228211092681915
2000,36.258700744894504,19.504486144291405,49.08751669337109,-0.8451659357702941,-0.47851301237675004,-0.23815927023664551,0.0070723627200820725,1.0,20.0,1.0,1.2281911305024598
5000,36.25862887677812,19.504504660617876,49.08748854433844,-0.21843870881641805,-0.8634447014428455,0.45469525843238273,0.0009966360303179564,1.0,20.0,1.0,1.2281953939552834
2000,38.756944116410445,17.17406979268263,48.4107507866834,-0.266230766649036,-0.0689624873157646,-0.9614392098477624,0.0010712059939217977,1.0,20.0,1.0,1.2165720955929538
5000,38.75694397438175,17.174069755892546,48.41075027377517,-0.020580643872669863,-0.17922563734537966,-0.9835927043324026,0.0009863277675938764,1.0,20.0,1.0,1.2165721233679045
2000,45.7873967077314,11.055095431688425,47.9356296734054,0.7189935227202219,-0.09130276814841017,0.6889935549878557,0.2779716655419634,1.0,20.0,1.0,1.1854423568163968
5000,45.75857164958155,11.028127761879714,47.94118043344436,0.7966357847177251,-0.46609944800126735,0.3848671603035107,0.000979865809304504,1.0,20.0,1.0,1.185893470112025
2000,45.758539312335536,11.02806889628478,47.94126039761429,0.9655817625048573,0.1969611909438216,-0.16987686475799058,0.0010989379354016725,1.0,20.0,1.0,1.1858885637916357
5000,45.75854258827847,11.02806891129043,47.94126062387614,0.9055834131060705,-0.42045298899782824,0.0560175503744294,0.0009834125911299607,1.0,20.0,1.0,1.185888749373387
2000,45.757279926288874,11.02880400171152,47.94165840861694,-0.6954663865317974,0.01697893170655418,-0.7183580034234385,0.0012677337406873275,1.0,20.0,1.0,1.1858604213380828
5000,45.757277868523246,11.02880318815318,47.94165562925386,-0.3341546648979282,0.04359987738383919,-0.9415092727207033,0.000990017252569549,1.0,20.0,1.0,1.1858606105543796
2000,45.75725654885892,11.029161120826927,47.94180863936974,0.637230971900061,0.25814998119475097,-0.726151000591787,0.002109179436650274,1.0,20.0,1.0,1.1858564493476278
5000,45.75725792148606,11.029173484727075,47.94180211154163,-0.47599741483757796,0.42119994002374206,-0.7720214191276942,0.0009948359777563246,1.0,20.0,1.0,1.1858571064303798
2000,45.75717167015619,11.028844423630177,47.94270899642717,-0.35078061245367465,-0.40306197755985884,-0.8452774717050968,0.0015771911429385314,1.0,20.0,1.0,1.1858417702826491
5000,45.75716803967119,11.028840097909322,47.94270963332152,0.5301206623009358,-0.8243595237681486,0.19850304525212714,0.0009756664930641302,1.0,20.0,1.0,1.1858421426785912
2000,45.75749735444906,11.026593445677346,47.94317384696628,0.6925516330483406,0.31237021655776087,0.6502284855108504,0.001839001,1.0,20.0,1.0,1.185817979125124
5000,45.75750706727663,11.026596504189035,47.94318237593829,0.265774882203413,0.9395781116640156,0.21576997954220745,0.0009580025498603104,1.0,20.0,1.0,1.1858186706187848
2000,45.757344083600785,11.02450804243631,47.942549096204154,-0.7704954112469032,0.6370312199796223,0.022979251918629276,0.0010870844467333767,1.0,20.0,1.0,1.185800706033881
5000,45.75734302682438,11.024508916159313,47.942549127721456,-0.8173864991705773,0.5050687206760273,0.2771008812117881,0.0009907949919684648,1.0,20.0,1.0,1.1858007776622883
2000,45.75728406430775,11.024217592365659,47.942008484698775,0.13653529089844071,0.9621437376798295,-0.23587611660099456,0.0011488986171018362,1.0,20.0,1.0,1.1857964930551461
5000,45.75728439541601,11.024219272309974,47.94200814317953,0.6125406774834414,0.7391035667416679,-0.28021391124972983,0.0009899107870863402,1.0,20.0,1.0,1.1857965825654697
2000,45.75939221954792,11.028875368136461,47.94050061551285,-0.6196895108849885,-0.47065093850429457,0.6280705407708205,0.0013707858820527067,1.0,20.0,1.0,1.1857508965116417
5000,45.759391460954824,11.02887552673449,47.94050307779813,-0.4919707516953451,0.023024281542354627,0.8703072227298678,0.0009645885706952163,1.0,20.0,1.0,1.1857510248771168
2000,45.76315259562511,11.031461494840133,47.94201426107897,-0.023172084042837396,-0.7879800758906097,0.6152645402755963,0.0011943941178782507,1.0,20.0,1.0,1.1857218750844822
5000,45.7631528560319,11.03145933754981,47.94201682803735,0.09670577971729324,-0.2429834200542148,0.9651979329381241,0.0009555186997460768,1.0,20.0,1.0,1.1857220562309823
2000,45.76466629031306,11.03237229270074,47.9427727740824,0.5022416143375813,-0.18806077950790703,-0.8440299189237659,0.001302188594231868,1.0,20.0,1.0,1.1857113964675479
5000,45.764666784302335,11.03237205260574,47.942771777224955,0.2532918375782687,-0.46941177900662007,-0.845869863954299,0.0009760430833566037,1.0,20.0,1.0,1.1857114505845832
2000,45.76991594817769,11.034808935970602,47.94615136150317,0.2946770134511876,0.39186180886561855,-0.8715559537379426,0.0049036888396785955,1.0,20.0,1.0,1.1856754707263415
5000,45.76993346473085,11.03484503824354,47.946169183063994,-0.3131244247530307,-0.31490998922750285,0.8959825853820027,0.0008915376704669825,1.0,20.0,1.0,1.1856782341396668
2000,45.773676373877144,11.039207699993463,47.94859258128447,0.44717008494556254,0.44993882036872584,-0.7730420254132226,0.00302081776747668,1.0,20.0,1.0,1.1856422487134608
5000,45.77366570811864,11.039203029918957,47.94859855858466,0.18613767548536853,-0.1732044632867576,0.9671364845059096,0.000991391338528487,1.0,20.0,1.0,1.1856435012741193
2000,45.774616060641826,11.041122020219685,47.94932458453938,0.25459522787856703,0.14788559510619528,-0.9556731244005698,0.006595370853799184,1.0,20.0,1.0,1.1856308435274827
5000,45.774609383529835,11.041085203190695,47.94926380148122,0.4178706739795612,-0.5781027214918675,0.7008433086158158,0.0008684313290505593,1.0,20.0,1.0,1.185634474816132
2000,45.77520522164754,11.042684452547103,47.950718457289256,0.4423076146591627,0.8014057771540095,0.4026322818139398,0.001839001,1.0,20.0,1.0,1.1856200028741477
5000,45.77521075656114,11.042682744351193,47.95072469162496,0.8639877044795985,-0.43764891616316226,-0.24897524513349437,0.0009897349931754984,1.0,20.0,1.0,1.185620604812915
2000,45.7752220272303,11.042713347272215,47.95074870664283,0.3781463005627387,0.4727509549449376,-0.7959346141294297,0.0022003382864318804,1.0,20.0,1.0,1.1856197802171562
5000,45.77521473199335,11.042711173320024,47.95074228544212,-0.9673521032420498,-0.1594338400275633,0.1970044644348144,0.0009705414012113315,1.0,20.0,1.0,1.185620395577406
2000,45.77837149488973,11.044510976100133,47.95430609932283,-0.541552309873996,0.805514306828494,0.240557263795443,0.005536481683284328,1.0,20.0,1.0,1.1855942851792791
5000,45.77833691150698,11.044578478171141,47.954318770545775,-0.16827218784617484,0.29297512974941287,0.9411960710424667,0.0009714689499135042,1.0,20.0,1.0,1.185596536483012
2000,45.77915408354753,11.044738437385833,47.954473287782534,-0.15903808814438597,-0.20706288367039616,0.9653143781822988,0.0015184377690229045,1.0,20.0,1.0,1.1855899662442546
5000,45.779150934255135,11.044736977024066,47.95447838389865,-0.7279697108811787,-0.2529726101858353,0.6372322641983363,0.0009970584808683216,1.0,20.0,1.0,1.185590433627121
